ABC,MCMC,SMC
0.347914,0.417577,0.339481
0.233545,0.415102,0.327428
0.299776,0.423888,0.329728
0.316244,0.420235,0.369742
0.283604,0.453551,0.33742
0.255843,0.427932,0.338056
0.267819,0.428512,0.352844
0.380671,0.421892,0.329172
0.385765,0.424855,0.37704
0.287333,0.450298,0.337445
0.284406,0.423603,0.334374
0.46769,0.422794,0.35979
0.242576,0.488461,0.326254
0.416596,0.420764,0.331056
0.398459,0.448388,0.328081
0.446469,0.417764,0.333354
0.324068,0.421105,0.373858
0.272884,0.444364,0.326125
0.281778,0.418696,0.33208
0.247546,0.427145,0.335683
0.609844,0.418225,0.336356
0.299977,0.427101,0.356401
0.26413,0.445888,0.344905
0.25915,0.429026,0.346571
0.256477,0.430199,0.339038
0.834588,0.419223,0.33384
0.298804,0.435127,0.328787
0.278383,0.43187,0.343873
0.518639,0.422115,0.330779
0.237704,0.41656,0.335176
0.272828,0.414496,0.350968
0.308546,0.413891,0.326929
0.43586,0.420815,0.35993
1.402942,0.423292,0.3511
0.421953,0.434646,0.338852
0.399242,0.456967,0.327557
0.334501,0.435039,0.345214
1.167539,0.423986,0.369256
0.184428,0.421379,0.368197
0.280995,0.422843,0.368797
0.202189,0.427335,0.371963
0.480096,0.438331,0.363104
0.351005,0.425985,0.372067
0.218283,0.457782,0.341552
0.341022,0.423695,0.338578
0.736346,0.430531,0.365836
0.29215,0.422136,0.36501
0.252891,0.451786,0.326916
0.247107,0.425234,0.341522
0.41573,0.424442,0.327768
0.229819,0.421986,0.34803
0.469722,0.426585,0.334914
0.255146,0.425273,0.331725
0.506469,0.426759,0.36041
2.495594,0.422903,0.364042
0.472705,0.420646,0.331813
0.294995,0.430837,0.369471
0.224238,0.421873,0.461023
0.269324,0.557215,0.396543
0.243713,0.535963,0.346773
0.225349,0.457588,0.356057
0.243979,0.500821,0.354914
0.335185,0.465078,0.374977
0.363128,0.437457,0.345918
0.209574,0.423126,0.339322
0.405589,0.427693,0.37467
0.203857,0.430347,0.376417
0.221419,0.432108,0.37815
0.390142,0.435572,0.340769
0.300934,0.498212,0.350754
0.78345,0.432141,0.367785
0.430968,0.419652,0.331829
0.24024,0.420424,0.334793
0.426196,0.434576,0.372414
0.379044,0.423969,0.349939
4.757668,0.42953,0.37381
0.205011,0.422957,0.361392
0.293778,0.420369,0.326014
0.460674,0.421219,0.36141
0.195358,0.418346,0.369372
0.485029,0.428169,0.335435
0.324589,0.423149,0.334166
0.339773,0.442761,0.36911
0.489072,0.428603,0.36751
0.450244,0.423477,0.346416
0.386005,0.428154,0.336195
0.22987,0.424091,0.336515
0.296871,0.420852,0.381497
0.556132,0.427581,0.368192
0.400181,0.433306,0.352328
0.503648,0.448543,0.352009
1.43298,0.436485,0.335828
0.290401,0.421263,0.33108
0.364713,0.432626,0.335656
0.56122,0.459593,0.32762
0.294354,0.426372,0.327021
0.253832,0.420465,0.334948
0.58346,0.42111,0.337506
0.46265,0.438262,0.36709
0.346686,0.421755,0.329022
0.310828,0.429062,0.331577
0.660089,0.433624,0.333448
0.582976,0.421512,0.336906
0.565753,0.42009,0.330227
0.448329,0.433438,0.379845
0.451583,0.433687,0.334457
0.244781,0.429161,0.342395
0.198366,0.426491,0.330041
0.297331,0.436665,0.338006
0.411613,0.437397,0.37184
0.407652,0.427124,0.345244
0.274641,0.434334,0.340736
0.346639,0.46139,0.374452
0.384697,0.427487,0.3364
0.822553,0.440182,0.341307
0.226331,0.443749,0.372656
0.340937,0.442536,0.392456
0.264067,0.440807,0.362071
0.518127,0.43428,0.335409
2.451845,0.439706,0.348497
0.434385,0.432469,0.347547
0.316507,0.43559,0.371824
0.438695,0.440675,0.332639
0.23733,0.428036,0.347392
0.275867,0.435923,0.335246
0.454622,0.451193,0.357784
0.219007,0.46394,0.35623
0.426632,0.427655,0.349794
0.535387,0.424166,0.328862
0.517248,0.42555,0.33108
0.404653,0.426976,0.338214
0.231677,0.425746,0.330658
0.355228,0.424763,0.380136
0.31714,0.434431,0.343339
0.457669,0.435426,0.376763
0.621989,0.437904,0.384246
0.250426,0.432388,0.381107
0.502564,0.425453,0.335613
0.258654,0.503747,0.368207
0.22649,0.423993,0.370512
0.203933,0.428337,0.371877
0.683961,0.49758,0.34561
0.188015,0.425678,0.374665
0.340184,0.461371,0.363457
0.411145,0.43998,0.333044
0.728923,0.43132,0.374303
0.484047,0.449924,0.335704
0.393311,0.425573,0.367992
0.240942,0.426186,0.362745
0.280833,0.447275,0.338662
0.28283,0.423533,0.327329
0.548288,0.448468,0.326738
0.173985,0.451267,0.340759
0.207407,0.454096,0.334675
0.233744,0.458093,0.331541
0.579072,0.454532,0.368191
0.384024,0.432868,0.329503
0.317536,0.430136,0.364021
0.357497,0.42987,0.371625
0.379613,0.462808,0.340174
0.356974,0.428072,0.348466
0.282172,0.423393,0.367288
0.288689,0.42737,0.338314
0.581232,0.426424,0.338001
0.405756,0.451955,0.328598
0.250366,0.450873,0.337086
0.374088,0.427568,0.331168
0.457113,0.450612,0.330681
0.310131,0.425405,0.336464
0.436981,0.42487,0.380061
0.215533,0.456511,0.389534
0.478024,0.432155,0.339101
0.271827,0.42757,0.334308
0.516246,0.43136,0.330815
0.479676,0.431202,0.367983
0.335635,0.429646,0.335545
4.946266,0.432137,0.32935
0.507337,0.422748,0.326884
4.216346,0.425655,0.341266
0.270952,0.437241,0.336509
0.280308,0.431368,0.341991
0.241552,0.428966,0.334763
0.336739,0.453748,0.36004
0.376539,0.456897,0.348178
0.241242,0.434677,0.34371
64.611273,0.439683,0.339351
0.426644,0.433701,0.378407
0.364792,0.431912,0.342282
0.268317,0.444152,0.339522
0.343018,0.445295,0.35841
0.275705,0.44322,0.355817
0.433467,0.479489,0.345304
0.291234,0.483687,0.337013
0.901287,0.526658,0.545356
0.256208,0.43838,0.330478
0.234202,0.431885,0.339492
0.493208,0.471566,0.339913
